name,name_variants,tier,mentors,promise,audience_nicho,deliveries,social_proof,page_number,is_ai,ai_relevance,ai_notes,attendees_with_club_field,members_count,guests_count,family_table_count,pista_premium_count,arquibancada_count
FRAME,,frame,Mari Coelho | Rapha Mattos | Arthur Aguiar | Fernando Ferreira,"Arthur Aguiar, Fernando Ferreira, Mari Coelho e Rapha Mattos uniram suas expertises para criar a Frame: a estrutura educacional perfeita para transformar autoridade em notoriedade, conhecimento em produto e propósito em dinheiro.",educação / mentores,MARI COELHO: Construção de Método Educacional e ferramentas | RAPHA MATTOS: Imersão de Esteira Produtos | ARTHUR AGUIAR: Imersão Clareza | FERNANDO FERREIRA: Desenho do plano de crescimento financeiro,alcance=+200 milhões de alcance por mês | alcance=milhões de alcance por mês | faturamento=+100 milhões de faturamento em produtos | faturamento=milhões de faturamento em produtos educacionais | indicador=+1000 mentorias criadas com sucesso,8,False,none,,0,0,0,0,0,0
CLAXCLUB,ClaxClub,platinum,Caio Carneiro | Flávio Augusto | Joel Jota,"Flávio Augusto, Caio Carneiro e Joel Jota, ao unirem suas expertises, não apenas impulsionam o ClaxClub para além das expectativas, mas também deixam um legado transformador, proporcionando uma experiência única de aprendizado em negócios.",educação / mentores,ENCONTROS: 3 encontros presenciais de 2 dias + 9 encontros online durante o ano | PLATAFORMA: plataforma exclusiva com todos os encontros gravados | WHATSAPP: grupo exclusivo do Whatsapp com todos os sócios e os mentores | EXPERIÊNCIAS: experiências especiais além da agenda de encontros anuais,faturamento=+39 bilhões faturamento total do grupo | faturamento=bilhões faturamento total do grupo | socios=+240 sócios no grupo | colaboradores=+280 mil colaboradores impactados,10,False,none,,127,25,102,0,70,57
A TRINCA CONTÁBIL,A Trinca Contábil,gold,Jhonny Martins | Carla Martins,"Os maiores especialistas do mercado contábil, dentro do maior ecossistema do Brasil, com as maiores referências do empreendedorismo do país.",contábil,"ENCONTROS: 2 encontros presenciais de 1 dia | PLATAFORMA: acesso, mídias e experiências | ONLINE: mentorias online | WHATSAPP: grupo exclusivo de WhatsApp",,36,False,none,,2,1,1,2,0,0
ACELERA ON DEMAND,,gold,Carolina Caribé,"Desenvolva produtos imobiliários viáveis em qualquer terreno ou mercado utilizando a metodologia ""O Fluxo do Desenvolvimento Imobiliário"". A mentoria acelera o crescimento dos participantes, proporcionando conhecimento prático e aplicável.",imobiliário,"ENCONTROS: 1 encontro presencial, 24 encontros online em grupo e 2 online individuais | PLATAFORMA: Plataforma com materiais e encontros gravados | WHATSAPP: Grupo de networking exclusivo | EXCLUSIVO: Acesso ao ecossistema de fornecedores e parceiros IP","faturamento=+23 bilhões de VGVs mentorados | faturamento=bilhões de VGVs mentorados | mentorados=+155 mentorados no grupo | indicador=+7,5 milhões de m² desenvolvidos | indicador=milhões de m² desenvolvidos",12,False,none,,0,0,0,0,0,0
ATRINCA REAL ESTATE,A Trinca Real Estate | ATrinca Real Estate,gold,Cézar Haik,"Unindo a experiência e influência de líderes como Cézar Haik, Flávio Augusto, Caio C, a ATrinca Real Estate vai além de um ecossistema: cria conexões estratégicas, impulsiona resultados e chancela autoridade no mercado. Com metodologia própria e networking de alto nível, transformamos o potencial de profissionais e empresas em crescimento real e sustentável.",imobiliário,ENCONTROS: 2 encontros presenciais + 9 encontros online | PREMIAÇÃO: 1 evento premiação anual | WHATSAPP: Grupo exclusivo no WhatsApp,socios=+120 Sócios +2.000 | indicador=+2.000 profissionais do setor imobiliario | indicador=profissionais do setor imobiliario | indicador=+5 bilhões em negocios imobiliários | indicador=bilhões em negocios imobiliários,13,False,none,,205,23,182,4,105,96
BEONE SELECT,BeOne Select,gold,Anderson Cavalcante,"Para empresários, médicos, profissionais liberais. Após ter lançado e contribuído, desde de o início da carreira, para nomes como Rick Chesther, Padre Fábio de Melo, Flávio Augusto, João Appolinário, Caio Carneiro, entre outros. Você irá aprender posicionamento, modelo de negócio, ROI, vendas e liderança. Além de palestrar e escrever livros bestsellers.",medicina / saúde,ENCONTROS: Semanais online + 3 encontros presenciais de 1 dia | PLATAFORMA: Plataforma com conteúdos exclusivos | WHATSAPP: Grupo exclusivo com todos os mentorados | EXPERIÊNCIAS: Acesso a eventos exclusivos do ecossistema Anderson Cavalcante,indicador=+240 milhões de livros vendidos como Editor | indicador=milhões de livros vendidos como Editor | indicador=+30 anos de experiência gerenciando a carreira e o posicionamento | indicador=+700 palestras realizadas no Brasil e exterior | indicador=palestras realizadas no Brasil e exterior,14,False,none,,54,15,39,5,37,12
CIRURGIÕES DE ELITE,Cirurgiões de Elite,gold,Marcelo Vieira,"Cirurgião de Elite é um programa inovador e intensivo para cirurgiões(as) que buscam aprimorar técnicas e transformar a experiência dos pacientes. Exclusivo no Brasil, oferece mentoria prática na cidade do mentorado, focada em procedimentos de alta performance, baixa complicação e alta precoce, com excelência em cirurgia laparoscópica e robótica. Conta ainda com um",oftalmologia / ótica,"ENCONTROS: 6 a 12 cirurgias por ano na cidade do mentorado | WHATSAPP: Grupo exclusivo | ACOMPANHAMENTO: Sessões online para feedback, dúvidas e aprimoramento",indicador=+300 pessoas (time cirúrgico) impactados em todo o país | indicador=+80 cirurgias realizadas em 1 ano | pacientes=75% pacientes com alta no mesmo dia da cirurgia,15,False,none,,3,3,0,0,3,0
D CLUB,D Club,gold,Darlan Sousa,"O D Club é um programa intensivo de desenvolvimento empresarial para empresários que buscam escala com previsibilidade, margem e clareza estratégica. Baseado nas metodologias de Darlan Sousa, ajuda líderes a organizar, estruturar e acelerar seus negócios com direção e resultados consistentes.",educação / mentores,ENCONTROS: 2 encontros exclusivos ao longo do ano + encontros mensais e semanais | PLATAFORMA: acesso a plataforma | WHATSAPP: Grupo exclusivo | EXPERIÊNCIAS: consultorias individuais e experiências premium,faturamento=+7 bilhões de faturamento anual | faturamento=bilhões de faturamento anual | socios=+100 sócios no grupo | indicador=+4500 funcionários,16,False,none,,5,1,4,5,0,0
DOC4U,Doc4u,gold,Davison Carvalho,"Doc4u é para todos os profissionais da área da saúde que desejam escalar seus projetos através de vendas, liderança e modelo de negócios. Mas, acima de tudo, Doc4u é para quem tem muita fome de servir e crescer! Você será acompanhado de perto por Davison Carvalho, em encontros semanais, para escalar suas clínicas/consultórios e/ou criar mentorias/cursos digitais voltados para a educação médica. Além disso, você terá encontros regulares com Flávio Augusto, um dos maiores nomes do empreendedorismo no Brasil.",medicina / saúde,ENCONTROS: 6 semanais online e 2 presenciais por ano | ACOMPANHAMENTO: acompanhamento individualizado com Davison Carvalho | WHATSAPP: grupo exclusivo com todos os membros e o mentor,faturamento=+1 bilhão em faturamento total do grupo | faturamento=bilhão em faturamento total do grupo | indicador=+200 negócios transformados através dos ensinamentos,17,False,none,,244,64,180,1,243,0
DOCFOUNDERS CLUB,DocFounders Club,gold,Vanylton Matias | Siele Matias,"DocFounders Club é o Grupo Seleto de médicos que decidiram construir negócios, não apenas carreira. Um ecossistema exclusivo onde médicos desenvolvem as competências do médico empresário: vendas, posicionamento, gestão e liderança, com acompanhamento próximo de Vanylton Matias e Siele Matias, que além da vivência médica trazem a visão de empresários.",medicina / saúde,ENCONTROS: 2 Encontros Nacionais presenciais + 1 Encontro Internacional presencial + 2 Encontros online por semana | WHATSAPP: Grupo exclusivo de whatsapp com todos os sócios e mentores | ACOMPANHAMENTO: Acompanhamento individual com Vanylton Matias e Siele Matias,indicador=+2 mil médicos formados pelo nosso Método | faturamento=80% dos mentorados dobram seu faturamento em,18,False,none,,3,3,0,1,2,0
